MDI_AC_20161117  OD

pnum	time	RV-20161117-083235-01_OD	RV-20161117-083235-01_density	RV-20161117-083235-02_OD	RV-20161117-083235-02_density	RV-20161117-083235-03_OD	RV-20161117-083235-03_density	RV-20161117-083235-04_OD	RV-20161117-083235-04_density	RV-20161117-083235-05_OD	RV-20161117-083235-05_density	RV-20161117-083235-06_OD	RV-20161117-083235-06_density	RV-20161117-083235-07_OD	RV-20161117-083235-07_density	RV-20161117-083235-08_OD	RV-20161117-083235-08_density	RV-20161117-083235-09_OD	RV-20161117-083235-09_density	RV-20161117-083235-10_OD	RV-20161117-083235-10_density	RV-20161117-083235-11_OD	RV-20161117-083235-11_density	RV-20161117-083235-12_OD	RV-20161117-083235-12_density	RV-20161117-083235-13_OD	RV-20161117-083235-13_density	RV-20161117-083235-14_OD	RV-20161117-083235-14_density	RV-20161117-083235-15_OD	RV-20161117-083235-15_density	RV-20161117-083235-16_OD	RV-20161117-083235-16_density
1	08:36:59	0.026	1.000	0.025	1.000	0.028	1.000	0.031	1.000	0.031	1.000	0.030	1.000	0.035	1.000	0.028	1.000	0.033	1.000	0.041	1.000	0.039	1.000	0.040	1.000	0.029	1.000	0.024	1.000	0.030	1.000	0.032	1.000
2	09:11:06	0.035	1.000	0.033	1.000	0.035	1.000	0.038	1.000	0.037	1.000	0.037	1.000	0.040	1.000	0.035	1.000	0.040	1.000	0.050	1.000	0.047	1.000	0.049	1.000	0.034	1.000	0.030	1.000	0.035	1.000	0.035	1.000
3	09:43:02	0.051	1.000	0.042	1.000	0.047	1.000	0.048	1.000	0.046	1.000	0.049	1.000	0.052	1.000	0.044	1.000	0.059	1.000	0.064	1.000	0.058	1.000	0.062	1.000	0.055	1.000	0.037	1.000	0.042	1.000	0.046	1.000
4	10:16:06	0.082	1.000	0.057	1.000	0.061	1.000	0.063	1.000	0.059	1.000	0.066	1.000	0.080	1.000	0.055	1.000	0.091	1.000	0.085	1.000	0.075	1.000	0.088	1.000	0.089	1.000	0.057	1.000	0.053	1.000	0.077	1.000
5	10:50:50	0.103	1.000	0.077	1.000	0.087	1.000	0.093	1.000	0.086	1.000	0.095	1.000	0.117	1.000	0.087	1.000	0.114	1.000	0.115	1.000	0.102	1.000	0.126	1.000	0.109	1.000	0.086	1.000	0.071	1.000	0.098	1.000
6	11:17:06	0.131	1.000	0.100	1.000	0.114	1.000	0.116	1.000	0.112	1.000	0.126	1.000	0.137	1.000	0.103	1.000	0.129	1.000	0.147	1.000	0.128	1.000	0.171	0.500	0.136	1.000	0.115	1.000	0.090	1.000	0.119	1.000
7	11:41:35	0.161	0.500	0.120	1.000	0.143	1.000	0.146	1.000	0.132	1.000	0.155	0.500	0.147	0.500	0.118	1.000	0.147	0.500	0.195	0.500	0.163	0.500	0.215	0.500	0.145	0.500	0.142	1.000	0.102	1.000	0.136	1.000
8	11:54:58	0.185	0.500	0.141	0.500	0.161	0.500	0.179	0.500	0.151	0.500	0.175	0.500	0.165	0.500	0.134	1.000	0.165	0.500	0.217	0.500	0.195	0.500	0.235	0.500	0.169	0.500	0.167	0.500	0.126	1.000	0.153	0.500
9	12:20:18	0.229	0.500	0.173	0.500	0.205	0.500	0.217	0.500	0.185	0.500	0.227	0.500	0.197	0.500	0.145	0.500	0.197	0.500	0.283	0.500	0.239	0.500	0.307	0.500	0.199	0.500	0.215	0.500	0.167	0.500	0.179	0.500
10	12:45:00	0.283	0.500	0.207	0.500	0.243	0.500	0.263	0.500	0.223	0.500	0.279	0.500	0.215	0.500	0.179	0.500	0.243	0.500	0.403	0.250	0.307	0.500	0.435	0.250	0.237	0.500	0.241	0.500	0.215	0.500	0.221	0.500
11	12:58:45	0.370	0.250	0.243	0.500	0.318	0.250	0.346	0.250	0.249	0.500	0.394	0.250	0.253	0.500	0.213	0.500	0.310	0.250	0.446	0.250	0.386	0.250	0.458	0.250	0.275	0.500	0.390	0.250	0.235	0.500	0.237	0.500
12	13:24:11	0.465	0.250	0.369	0.250	0.405	0.250	0.429	0.250	0.373	0.250	0.481	0.250	0.361	0.250	0.225	0.500	0.373	0.250	0.557	0.250	0.485	0.250	0.569	0.250	0.429	0.250	0.457	0.250	0.302	0.500	0.298	0.500
13	13:34:25	0.504	0.250	0.388	0.250	0.432	0.250	0.472	0.250	0.408	0.250	0.548	0.250	0.412	0.250	0.254	0.500	0.400	0.250	0.600	0.250	0.508	0.250	0.608	0.250	0.472	0.250	0.492	0.250	0.420	0.250	0.424	0.250
14	13:46:59	0.535	0.250	0.436	0.250	0.475	0.250	0.519	0.250	0.440	0.250	0.568	0.250	0.440	0.250	0.388	0.250	0.460	0.250	0.651	0.250	0.560	0.250	0.651	0.250	0.515	0.250	0.519	0.250	0.440	0.250	0.475	0.250
15	14:00:51	0.597	0.250	0.493	0.250	0.516	0.250	0.573	0.250	0.481	0.250	0.621	0.250	0.485	0.250	0.412	0.250	0.497	0.250	0.733	0.250	0.621	0.250	0.741	0.250	0.577	0.250	0.597	0.250	0.497	0.250	0.512	0.250
16	14:13:16	0.656	0.250	0.528	0.250	0.612	0.250	0.620	0.250	0.540	0.250	0.672	0.250	0.532	0.250	0.464	0.250	0.516	0.250	0.792	0.250	0.688	0.250	0.808	0.250	0.652	0.250	0.644	0.250	0.576	0.250	0.572	0.250
17	14:31:25	0.749	0.250	0.652	0.250	0.673	0.250	0.713	0.250	0.589	0.250	0.793	0.250	0.625	0.250	0.520	0.250	0.621	0.250	0.869	0.250	0.809	0.250	0.873	0.250	0.741	0.250	0.756	0.250	0.621	0.250	0.648	0.250
18	14:44:01	0.679	0.250	0.667	0.250	0.759	0.250	0.795	0.250	0.659	0.250	0.835	0.250	0.635	0.250	0.575	0.250	0.675	0.250	0.867	0.250	0.823	0.250	0.863	0.250	0.831	0.250	0.823	0.250	0.679	0.250	0.703	0.250
19	15:07:37	0.688	0.250	0.763	0.250	0.716	0.250	0.856	0.250	0.783	0.250	0.812	0.250	0.775	0.250	0.680	0.250	0.804	0.250	0.844	0.250	0.828	0.250	0.860	0.250	0.751	0.250	0.828	0.250	0.848	0.250	0.816	0.250
20	15:27:30	0.666	0.250	0.766	0.250	0.714	0.250	0.850	0.250	0.878	0.250	0.794	0.250	0.890	0.250	0.782	0.250	0.786	0.250	0.846	0.250	0.814	0.250	0.882	0.250	0.822	0.250	0.822	0.250	0.806	0.250	0.830	0.250
21	15:47:24	0.682	0.250	0.742	0.250	0.730	0.250	0.834	0.250	0.818	0.250	0.802	0.250	0.834	0.250	0.810	0.250	0.781	0.250	0.846	0.250	0.826	0.250	0.862	0.250	0.777	0.250	0.838	0.250	0.818	0.250	0.814	0.250
